event_group,variant,total_return_unscaled_pct,max_drawdown_unscaled_pct,total_return_10pct_acct_pct,max_drawdown_10pct_acct_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser
CPI,A_pre_long_60,9.2568,-3.9414,0.9079,-0.3972,11,0.8236,1.6695,0.6364,CPI_Jul2025,3.244,CPI_Jan2025,-2.88,0.5815,1.1939
FOMC,A_pre_long_60,-0.6545,-3.9135,-0.0573,-0.3944,8,-0.0705,-0.0324,0.375,FOMC_Press_Conference_Jan,3.0849,FOMC_Press_Conference_Jul,-2.276,-0.5213,0.2445
JACKSON_HOLE,A_pre_long_60,7.1518,0.0,0.7152,0.0,1,7.1518,7.1518,1.0,Powell_Jackson_Hole,7.1518,Powell_Jackson_Hole,7.1518,,
ALL,A_pre_long_60,16.3044,-4.5474,1.5713,-0.4601,20,0.7823,0.4363,0.55,Powell_Jackson_Hole,7.1518,CPI_Jan2025,-2.88,0.4471,0.9751
ALL_excl_JH,A_pre_long_60,8.5417,-4.5474,0.8501,-0.4601,19,0.4471,0.2977,0.5263,CPI_Jul2025,3.244,CPI_Jan2025,-2.88,0.2917,0.6319
CPI,B_pre_long_120,9.6549,-5.5861,0.9546,-0.5683,11,0.8666,2.0793,0.5455,CPI_Dec2024,4.3242,CPI_Feb2025,-1.9688,0.5209,1.1502
FOMC,B_pre_long_120,0.9729,-2.7174,0.1029,-0.2728,8,0.1294,0.1159,0.5,FOMC_Press_Conference_Jan,2.66,FOMC_Press_Conference_Oct,-1.5425,-0.2321,0.3682
JACKSON_HOLE,B_pre_long_120,7.2015,0.0,0.7201,0.0,1,7.2015,7.2015,1.0,Powell_Jackson_Hole,7.2015,Powell_Jackson_Hole,7.2015,,
ALL,B_pre_long_120,18.6954,-5.1166,1.7863,-0.5185,20,0.8885,0.7254,0.55,Powell_Jackson_Hole,7.2015,CPI_Feb2025,-1.9688,0.5562,1.0389
ALL_excl_JH,B_pre_long_120,10.7218,-5.1166,1.0585,-0.5185,19,0.5562,0.6037,0.5263,CPI_Dec2024,4.3242,CPI_Feb2025,-1.9688,0.3469,0.6965
CPI,C_momentum_60,5.1958,-3.1359,0.5174,-0.3158,11,0.4701,0.853,0.6364,CPI_Jan2025,2.1793,CPI_Feb2025,-1.6089,0.2992,0.678
FOMC,C_momentum_60,8.0328,-0.3043,0.7832,-0.0304,8,0.9762,0.5601,0.875,FOMC_Press_Conference_Jan,3.0595,FOMC_Press_Conference_Sep,-0.3043,0.6786,1.1591
JACKSON_HOLE,C_momentum_60,5.5836,0.0,0.5584,0.0,1,5.5836,5.5836,1.0,Powell_Jackson_Hole,5.5836,Powell_Jackson_Hole,5.5836,,
ALL,C_momentum_60,19.9916,-2.9437,1.8703,-0.2961,20,0.9282,0.7958,0.75,Powell_Jackson_Hole,5.5836,CPI_Feb2025,-1.6089,0.6832,1.0618
ALL_excl_JH,C_momentum_60,13.646,-2.9437,1.3047,-0.2961,19,0.6832,0.7386,0.7368,FOMC_Press_Conference_Jan,3.0595,CPI_Feb2025,-1.6089,0.5512,0.8106
CPI,D_straddle_TP1.5_SL1.0,2.7846,0.0,0.2753,0.0,11,0.25,0.25,1.0,CPI_Dec2024,0.25,CPI_Dec2024,0.25,0.25,0.25
FOMC,D_straddle_TP1.5_SL1.0,-0.1256,-1.0,-0.012,-0.1,8,-0.0149,0.125,0.5,FOMC_Press_Conference_Jan,0.25,FOMC_Press_Conference_Sep,-1.0,-0.0528,0.1258
JACKSON_HOLE,D_straddle_TP1.5_SL1.0,0.25,0.0,0.025,0.0,1,0.25,0.25,1.0,Powell_Jackson_Hole,0.25,Powell_Jackson_Hole,0.25,,
ALL,D_straddle_TP1.5_SL1.0,2.9122,-1.0,0.2884,-0.1,20,0.144,0.25,0.8,CPI_Dec2024,0.25,FOMC_Press_Conference_Sep,-1.0,0.1385,0.2042
ALL_excl_JH,D_straddle_TP1.5_SL1.0,2.6555,-1.0,0.2633,-0.1,19,0.1385,0.25,0.7895,CPI_Dec2024,0.25,FOMC_Press_Conference_Sep,-1.0,0.1323,0.2017
CPI,E_best_straddle,4.2615,-1.4925,0.4222,-0.1499,11,0.3835,0.7344,0.5455,CPI_Dec2024,1.25,CPI_Jan2025,-0.5,0.2968,0.4718
FOMC,E_best_straddle,1.8696,-0.9975,0.188,-0.1,8,0.2351,-0.1847,0.5,FOMC_Press_Conference_Jan,1.25,FOMC_Press_Conference_May,-0.5,0.0901,0.3401
JACKSON_HOLE,E_best_straddle,-0.5,-0.5,-0.05,-0.05,1,-0.5,-0.5,0.0,Powell_Jackson_Hole,-0.5,Powell_Jackson_Hole,-0.5,,
ALL,E_best_straddle,5.6797,-1.985,0.5607,-0.1999,20,0.2799,-0.1847,0.5,CPI_Dec2024,1.25,CPI_Jan2025,-0.5,0.2289,0.321
ALL_excl_JH,E_best_straddle,6.2107,-1.857,0.611,-0.1868,19,0.321,0.1307,0.5263,CPI_Dec2024,1.25,CPI_Jan2025,-0.5,0.2694,0.3666
