split,variant,total_return_unscaled_pct,max_drawdown_unscaled_pct,total_return_10pct_acct_pct,max_drawdown_10pct_acct_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_intratrade_mae_pct,worst_intratrade_mae_pct,events
full_year,A_pre_long_60,16.3044,-4.5474,1.5713,-0.4601,20,0.7823,0.4363,0.55,Powell_Jackson_Hole,7.1518,CPI_Jan2025,-2.88,0.4471,0.9751,-1.1067,-3.9932,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025|FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
full_year,B_pre_long_120,18.6954,-5.1166,1.7863,-0.5185,20,0.8885,0.7254,0.55,Powell_Jackson_Hole,7.2015,CPI_Feb2025,-1.9688,0.5562,1.0389,-1.3844,-3.9932,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025|FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
full_year,C_momentum_60,19.9916,-2.9437,1.8703,-0.2961,20,0.9282,0.7958,0.75,Powell_Jackson_Hole,5.5836,CPI_Feb2025,-1.6089,0.6832,1.0618,-0.7287,-3.8093,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025|FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
full_year,D_straddle_TP1.5_SL1.0,2.9122,-1.0,0.2884,-0.1,20,0.144,0.25,0.8,CPI_Dec2024,0.25,FOMC_Press_Conference_Sep,-1.0,0.1385,0.2042,,,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025|FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
full_year,E_best_straddle,5.6797,-1.985,0.5607,-0.1999,20,0.2799,-0.1847,0.5,CPI_Dec2024,1.25,CPI_Jan2025,-0.5,0.2289,0.321,,,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025|FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
pre_may,A_pre_long_60,1.3911,-3.9936,0.1492,-0.4026,6,0.2505,-0.2058,0.3333,FOMC_Press_Conference_Jan,3.0849,CPI_Jan2025,-2.88,-0.3163,0.8767,-1.0721,-3.5706,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025
pre_may,B_pre_long_120,1.9988,-4.7623,0.2147,-0.4815,6,0.3606,-0.4763,0.5,CPI_Dec2024,4.3242,CPI_Feb2025,-1.9688,-0.4322,0.8264,-1.6319,-3.904,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025
pre_may,C_momentum_60,3.0774,-2.9437,0.3124,-0.2961,6,0.5216,0.5257,0.6667,FOMC_Press_Conference_Jan,3.0595,CPI_Feb2025,-1.6089,0.014,0.9477,-1.0588,-3.8093,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025
pre_may,D_straddle_TP1.5_SL1.0,1.1354,-0.1193,0.1131,-0.0119,6,0.1884,0.25,0.8333,CPI_Dec2024,0.25,FOMC_Press_Conference_Mar,-0.1193,0.1761,0.25,,,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025
pre_may,E_best_straddle,1.1175,-1.3638,0.1129,-0.1369,6,0.1884,-0.1847,0.5,CPI_Dec2024,1.25,CPI_Jan2025,-0.5,-0.0239,0.3261,,,CPI_Dec2024|FOMC_Press_Conference_Jan|CPI_Jan2025|CPI_Feb2025|FOMC_Press_Conference_Mar|CPI_Mar2025
post_may,A_pre_long_60,14.7087,-2.276,1.42,-0.2276,14,1.0102,0.6305,0.6429,Powell_Jackson_Hole,7.1518,FOMC_Press_Conference_Jul,-2.276,0.5378,1.263,-1.1215,-3.9932,FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
post_may,B_pre_long_120,16.3693,-3.5077,1.5682,-0.3538,14,1.1147,0.7254,0.5714,Powell_Jackson_Hole,7.2015,FOMC_Press_Conference_Oct,-1.5425,0.6465,1.3191,-1.2783,-3.9932,FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
post_may,C_momentum_60,16.4091,-1.5819,1.553,-0.1589,14,1.1025,0.9043,0.7857,Powell_Jackson_Hole,5.5836,CPI_Sep2025_Delayed,-0.7386,0.7578,1.2442,-0.5873,-1.2977,FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
post_may,D_straddle_TP1.5_SL1.0,1.7568,-1.0,0.1751,-0.1,14,0.125,0.25,0.7857,CPI_Apr2025,0.25,FOMC_Press_Conference_Sep,-1.0,0.1154,0.2115,,,FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
post_may,E_best_straddle,4.5118,-1.985,0.4472,-0.1999,14,0.3191,0.1172,0.5,CPI_Jun2025,1.25,FOMC_Press_Conference_May,-0.5,0.2475,0.3822,,,FOMC_Press_Conference_May|CPI_Apr2025|CPI_May2025|FOMC_Press_Conference_Jun|CPI_Jun2025|FOMC_Press_Conference_Jul|CPI_Jul2025|Powell_Jackson_Hole|CPI_Aug2025|FOMC_Press_Conference_Sep|CPI_Sep2025_Delayed|FOMC_Press_Conference_Oct|FOMC_Press_Conference_Dec|CPI_Nov2025_Delayed
