split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
full_year,A_pre_long_60,1,CPI_Dec2024,CPI,2.4482,1.024482,1.002448,1.024482,0.0,0.0
full_year,A_pre_long_60,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,3.0849,1.056086,1.005541,1.056086,0.0,0.0
full_year,A_pre_long_60,3,CPI_Jan2025,CPI,-2.88,1.025671,1.002645,1.056086,-2.88,-0.288
full_year,A_pre_long_60,4,CPI_Feb2025,CPI,-0.3573,1.022006,1.002286,1.056086,-3.227,-0.3236
full_year,A_pre_long_60,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,-0.0543,1.021451,1.002232,1.056086,-3.2796,-0.329
full_year,A_pre_long_60,6,CPI_Mar2025,CPI,-0.7382,1.013911,1.001492,1.056086,-3.9936,-0.4026
full_year,A_pre_long_60,7,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,-0.5768,1.008062,1.000914,1.056086,-4.5474,-0.4601
full_year,A_pre_long_60,8,CPI_Apr2025,CPI,1.7732,1.025937,1.002689,1.056086,-4.5474,-0.4601
full_year,A_pre_long_60,9,CPI_May2025,CPI,1.6695,1.043065,1.004363,1.056086,-4.5474,-0.4601
full_year,A_pre_long_60,10,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,-0.0105,1.042956,1.004353,1.056086,-4.5474,-0.4601
full_year,A_pre_long_60,11,CPI_Jun2025,CPI,1.8025,1.061755,1.006163,1.061755,-4.5474,-0.4601
full_year,A_pre_long_60,12,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,-2.276,1.03759,1.003873,1.061755,-4.5474,-0.4601
full_year,A_pre_long_60,13,CPI_Jul2025,CPI,3.244,1.071249,1.00713,1.071249,-4.5474,-0.4601
full_year,A_pre_long_60,14,Powell_Jackson_Hole,JACKSON_HOLE,7.1518,1.147862,1.014332,1.147862,-4.5474,-0.4601
full_year,A_pre_long_60,15,CPI_Aug2025,CPI,-0.8815,1.137743,1.013438,1.147862,-4.5474,-0.4601
full_year,A_pre_long_60,16,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,0.6861,1.14555,1.014134,1.147862,-4.5474,-0.4601
full_year,A_pre_long_60,17,CPI_Sep2025_Delayed,CPI,0.5748,1.152135,1.014717,1.152135,-4.5474,-0.4601
full_year,A_pre_long_60,18,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,-1.7154,1.132371,1.012976,1.152135,-4.5474,-0.4601
full_year,A_pre_long_60,19,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,0.2977,1.135742,1.013277,1.152135,-4.5474,-0.4601
full_year,A_pre_long_60,20,CPI_Nov2025_Delayed,CPI,2.4039,1.163044,1.015713,1.163044,-4.5474,-0.4601
full_year,B_pre_long_120,1,CPI_Dec2024,CPI,4.3242,1.043242,1.004324,1.043242,0.0,0.0
full_year,B_pre_long_120,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2.66,1.070993,1.006996,1.070993,0.0,0.0
full_year,B_pre_long_120,3,CPI_Jan2025,CPI,-1.825,1.051447,1.005158,1.070993,-1.825,-0.1825
