split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
post_may,A_pre_long_60,1,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,-0.5768,0.994232,0.999423,1.0,-0.5768,-0.0577
post_may,A_pre_long_60,2,CPI_Apr2025,CPI,1.7732,1.011861,1.001195,1.011861,-0.5768,-0.0577
post_may,A_pre_long_60,3,CPI_May2025,CPI,1.6695,1.028754,1.002867,1.028754,-0.5768,-0.0577
post_may,A_pre_long_60,4,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,-0.0105,1.028647,1.002856,1.028754,-0.5768,-0.0577
post_may,A_pre_long_60,5,CPI_Jun2025,CPI,1.8025,1.047188,1.004664,1.047188,-0.5768,-0.0577
post_may,A_pre_long_60,6,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,-2.276,1.023354,1.002377,1.047188,-2.276,-0.2276
post_may,A_pre_long_60,7,CPI_Jul2025,CPI,3.244,1.056551,1.005629,1.056551,-2.276,-0.2276
post_may,A_pre_long_60,8,Powell_Jackson_Hole,JACKSON_HOLE,7.1518,1.132113,1.012821,1.132113,-2.276,-0.2276
post_may,A_pre_long_60,9,CPI_Aug2025,CPI,-0.8815,1.122134,1.011928,1.132113,-2.276,-0.2276
post_may,A_pre_long_60,10,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,0.6861,1.129833,1.012623,1.132113,-2.276,-0.2276
post_may,A_pre_long_60,11,CPI_Sep2025_Delayed,CPI,0.5748,1.136327,1.013205,1.136327,-2.276,-0.2276
post_may,A_pre_long_60,12,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,-1.7154,1.116835,1.011467,1.136327,-2.276,-0.2276
post_may,A_pre_long_60,13,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,0.2977,1.12016,1.011768,1.136327,-2.276,-0.2276
post_may,A_pre_long_60,14,CPI_Nov2025_Delayed,CPI,2.4039,1.147087,1.0142,1.147087,-2.276,-0.2276
post_may,B_pre_long_120,1,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,-0.372,0.99628,0.999628,1.0,-0.372,-0.0372
post_may,B_pre_long_120,2,CPI_Apr2025,CPI,2.0793,1.016996,1.001707,1.016996,-0.372,-0.0372
post_may,B_pre_long_120,3,CPI_May2025,CPI,2.6198,1.043639,1.004331,1.043639,-0.372,-0.0372
post_may,B_pre_long_120,4,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,0.6037,1.04994,1.004937,1.04994,-0.372,-0.0372
post_may,B_pre_long_120,5,CPI_Jun2025,CPI,2.3619,1.074739,1.007311,1.074739,-0.372,-0.0372
post_may,B_pre_long_120,6,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,-1.0342,1.063623,1.006269,1.074739,-1.0342,-0.1034
post_may,B_pre_long_120,7,CPI_Jul2025,CPI,2.9213,1.094695,1.009209,1.094695,-1.0342,-0.1034
post_may,B_pre_long_120,8,Powell_Jackson_Hole,JACKSON_HOLE,7.2015,1.173529,1.016476,1.173529,-1.0342,-0.1034
post_may,B_pre_long_120,9,CPI_Aug2025,CPI,-0.8561,1.163483,1.015606,1.173529,-1.0342,-0.1034
post_may,B_pre_long_120,10,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,0.847,1.173338,1.016466,1.173529,-1.0342,-0.1034
post_may,B_pre_long_120,11,CPI_Sep2025_Delayed,CPI,-0.9906,1.161715,1.015459,1.173529,-1.0342,-0.1034
post_may,B_pre_long_120,12,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,-1.5425,1.143795,1.013893,1.173529,-2.5337,-0.2541
post_may,B_pre_long_120,13,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,-0.9993,1.132365,1.01288,1.173529,-3.5077,-0.3538
post_may,B_pre_long_120,14,CPI_Nov2025_Delayed,CPI,2.7666,1.163693,1.015682,1.173529,-3.5077,-0.3538
