split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
pre_may,A_pre_long_60,1,CPI_Dec2024,CPI,2.4482,1.024482,1.002448,1.024482,0.0,0.0
pre_may,A_pre_long_60,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,3.0849,1.056086,1.005541,1.056086,0.0,0.0
pre_may,A_pre_long_60,3,CPI_Jan2025,CPI,-2.88,1.025671,1.002645,1.056086,-2.88,-0.288
pre_may,A_pre_long_60,4,CPI_Feb2025,CPI,-0.3573,1.022006,1.002286,1.056086,-3.227,-0.3236
pre_may,A_pre_long_60,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,-0.0543,1.021451,1.002232,1.056086,-3.2796,-0.329
pre_may,A_pre_long_60,6,CPI_Mar2025,CPI,-0.7382,1.013911,1.001492,1.056086,-3.9936,-0.4026
pre_may,B_pre_long_120,1,CPI_Dec2024,CPI,4.3242,1.043242,1.004324,1.043242,0.0,0.0
pre_may,B_pre_long_120,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2.66,1.070993,1.006996,1.070993,0.0,0.0
pre_may,B_pre_long_120,3,CPI_Jan2025,CPI,-1.825,1.051447,1.005158,1.070993,-1.825,-0.1825
pre_may,B_pre_long_120,4,CPI_Feb2025,CPI,-1.9688,1.030746,1.003179,1.070993,-3.7579,-0.379
pre_may,B_pre_long_120,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,0.8725,1.039739,1.004054,1.070993,-3.7579,-0.379
pre_may,B_pre_long_120,6,CPI_Mar2025,CPI,-1.8996,1.019988,1.002147,1.070993,-4.7623,-0.4815
pre_may,C_momentum_60,1,CPI_Dec2024,CPI,0.853,1.00853,1.000853,1.00853,0.0,0.0
pre_may,C_momentum_60,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,3.0595,1.039386,1.003915,1.039386,0.0,0.0
pre_may,C_momentum_60,3,CPI_Jan2025,CPI,2.1793,1.062038,1.006103,1.062038,0.0,0.0
pre_may,C_momentum_60,4,CPI_Feb2025,CPI,-1.6089,1.044951,1.004484,1.062038,-1.6089,-0.1609
pre_may,C_momentum_60,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,0.1984,1.047025,1.004684,1.062038,-1.6089,-0.1609
pre_may,C_momentum_60,6,CPI_Mar2025,CPI,-1.552,1.030774,1.003124,1.062038,-2.9437,-0.2961
pre_may,D_straddle_TP1.5_SL1.0,1,CPI_Dec2024,CPI,0.25,1.0025,1.00025,1.0025,0.0,0.0
pre_may,D_straddle_TP1.5_SL1.0,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,0.25,1.005006,1.0005,1.005006,0.0,0.0
pre_may,D_straddle_TP1.5_SL1.0,3,CPI_Jan2025,CPI,0.25,1.007519,1.00075,1.007519,0.0,0.0
pre_may,D_straddle_TP1.5_SL1.0,4,CPI_Feb2025,CPI,0.25,1.010038,1.001,1.010038,0.0,0.0
pre_may,D_straddle_TP1.5_SL1.0,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,-0.1193,1.008832,1.000881,1.010038,-0.1193,-0.0119
pre_may,D_straddle_TP1.5_SL1.0,6,CPI_Mar2025,CPI,0.25,1.011354,1.001131,1.011354,-0.1193,-0.0119
pre_may,E_best_straddle,1,CPI_Dec2024,CPI,1.25,1.0125,1.00125,1.0125,0.0,0.0
pre_may,E_best_straddle,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,1.25,1.025156,1.002502,1.025156,0.0,0.0
pre_may,E_best_straddle,3,CPI_Jan2025,CPI,-0.5,1.02003,1.002,1.025156,-0.5,-0.05
pre_may,E_best_straddle,4,CPI_Feb2025,CPI,-0.5,1.01493,1.001499,1.025156,-0.9975,-0.1
pre_may,E_best_straddle,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,0.1307,1.016256,1.00163,1.025156,-0.9975,-0.1
pre_may,E_best_straddle,6,CPI_Mar2025,CPI,-0.5,1.011175,1.001129,1.025156,-1.3638,-0.1369
