event_date,event_name,event_type,event_time_utc,may_split
2025-01-15,CPI_Dec2024,CPI,2025-01-15 13:30:00,pre_may_2025
2025-01-29,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30:00,pre_may_2025
2025-02-12,CPI_Jan2025,CPI,2025-02-12 13:30:00,pre_may_2025
2025-03-12,CPI_Feb2025,CPI,2025-03-12 12:30:00,pre_may_2025
2025-03-19,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30:00,pre_may_2025
2025-04-10,CPI_Mar2025,CPI,2025-04-10 12:30:00,pre_may_2025
2025-05-07,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30:00,post_may_2025
2025-05-13,CPI_Apr2025,CPI,2025-05-13 12:30:00,post_may_2025
2025-06-11,CPI_May2025,CPI,2025-06-11 12:30:00,post_may_2025
2025-06-18,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30:00,post_may_2025
2025-07-15,CPI_Jun2025,CPI,2025-07-15 12:30:00,post_may_2025
2025-07-30,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30:00,post_may_2025
2025-08-12,CPI_Jul2025,CPI,2025-08-12 12:30:00,post_may_2025
2025-08-22,Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00:00,post_may_2025
2025-09-11,CPI_Aug2025,CPI,2025-09-11 12:30:00,post_may_2025
2025-09-17,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30:00,post_may_2025
2025-10-24,CPI_Sep2025_Delayed,CPI,2025-10-24 12:30:00,post_may_2025
2025-10-29,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30:00,post_may_2025
2025-12-10,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30:00,post_may_2025
2025-12-18,CPI_Nov2025_Delayed,CPI,2025-12-18 13:30:00,post_may_2025
