event_name,event_type,event_utc,may_split,ret_-10m_to_+15m,ret_-10m_to_+30m,ret_-10m_to_+60m,ret_-10m_to_+120m,ret_event_to_+15m,ret_event_to_+30m,ret_event_to_+60m,hl_range_event_to_+60m_pct,hl_range_-60m_to_+60m_pct,realized_vol_-60_+60_pct
CPI_Dec2024,CPI,2025-01-15 13:30,pre_may_2025,1.8688,2.7599,2.4482,4.3242,1.6047,2.4935,2.1826,2.9784,3.9561,1.7567
FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30,pre_may_2025,2.1775,1.898,3.0849,2.66,2.4809,2.2006,3.391,4.1183,4.1877,2.799
CPI_Jan2025,CPI,2025-02-12 13:30,pre_may_2025,-1.9713,-1.9229,-2.88,-1.825,-2.4517,-2.4036,-3.356,4.2749,4.2749,2.7855
CPI_Feb2025,CPI,2025-03-12 12:30,pre_may_2025,0.2842,0.7334,-0.3573,-1.9688,-0.2012,0.2459,-0.8395,2.357,2.357,1.7391
FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30,pre_may_2025,0.0865,1.0192,-0.0543,0.8725,0.4617,1.3979,0.3203,1.7728,3.5575,2.1019
CPI_Mar2025,CPI,2025-04-10 12:30,pre_may_2025,-0.1,-0.4513,-0.7382,-1.8996,-0.8966,-1.2451,-1.5297,2.8406,2.8827,1.6799
FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30,post_may_2025,0.1033,0.2426,-0.5768,-0.372,0.1049,0.2443,-0.5752,1.5851,1.6128,1.3441
CPI_Apr2025,CPI,2025-05-13 12:30,post_may_2025,1.4282,0.9896,1.7732,2.0793,1.2924,0.8544,1.6369,1.9443,2.3927,1.6395
CPI_May2025,CPI,2025-06-11 12:30,post_may_2025,1.5706,1.2492,1.6695,2.6198,1.4716,1.1506,1.5705,1.8074,2.2147,1.4589
FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30,post_may_2025,0.4076,-0.5495,-0.0105,0.6037,0.172,-0.7828,-0.245,1.5824,2.2091,1.9838
CPI_Jun2025,CPI,2025-07-15 12:30,post_may_2025,-0.0376,0.7741,1.8025,2.3619,-0.1668,0.6439,1.671,2.2663,2.4468,1.1359
FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30,post_may_2025,-0.4056,-1.8455,-2.276,-1.0342,-0.3899,-1.83,-2.2606,3.7511,3.9768,1.7574
CPI_Jul2025,CPI,2025-08-12 12:30,post_may_2025,2.9666,2.9197,3.244,2.9213,2.3789,2.3322,2.6546,3.008,3.8329,1.7695
Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00,post_may_2025,6.7277,6.3237,7.1518,7.2015,7.1162,6.7107,7.5418,8.3381,9.6405,3.9555
CPI_Aug2025,CPI,2025-09-11 12:30,post_may_2025,-0.7098,-0.4576,-0.8815,-0.8561,-1.3067,-1.056,-1.4773,3.4564,3.4564,2.4806
FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30,post_may_2025,-0.7675,-0.4523,0.6861,0.847,-1.2255,-0.9118,0.2213,2.0539,2.8492,2.9682
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,post_may_2025,0.8526,0.515,0.5748,-0.9906,0.5585,0.2218,0.2815,1.9633,2.5921,1.4254
FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30,post_may_2025,-3.3652,-2.0087,-1.7154,-1.5425,-3.2442,-1.886,-1.5923,4.2295,4.5385,3.6527
FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30,post_may_2025,-0.7202,-0.0112,0.2977,-0.9993,-0.2866,0.4255,0.7358,2.6012,3.115,2.8008
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,post_may_2025,1.5425,2.4509,2.4039,2.7666,1.6304,2.5395,2.4925,3.648,4.7735,1.9493
