split,variant,total_return_unscaled_pct,max_drawdown_unscaled_pct,total_return_10pct_acct_pct,max_drawdown_10pct_acct_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser
full_year,pre_long_15,12.2016,-4.6673,1.1966,-0.4706,20,0.5969,0.1937,0.6,Powell_Jackson_Hole,6.7277,FOMC_Press_Conference_Oct,-3.3652,0.2743,0.8055
full_year,pre_long_30,14.7651,-2.4093,1.4235,-0.2414,20,0.7088,0.6242,0.6,Powell_Jackson_Hole,6.3237,FOMC_Press_Conference_Oct,-2.0087,0.4133,0.8518
full_year,pre_long_60,16.3044,-4.5474,1.5713,-0.4601,20,0.7823,0.4363,0.55,Powell_Jackson_Hole,7.1518,CPI_Jan2025,-2.88,0.4471,0.9751
full_year,pre_long_120,18.6954,-5.1166,1.7863,-0.5185,20,0.8885,0.7254,0.55,Powell_Jackson_Hole,7.2015,CPI_Feb2025,-1.9688,0.5562,1.0389
full_year,pre_short_15,-11.6493,-14.3363,-1.1911,-1.5028,20,-0.5969,-0.1937,0.4,FOMC_Press_Conference_Oct,3.3652,Powell_Jackson_Hole,-6.7277,-0.8055,-0.2743
full_year,pre_short_30,-13.5851,-13.5851,-1.4117,-1.4117,20,-0.7088,-0.6242,0.4,FOMC_Press_Conference_Oct,2.0087,Powell_Jackson_Hole,-6.3237,-0.8518,-0.4133
full_year,pre_short_60,-14.9711,-14.9711,-1.558,-1.558,20,-0.7823,-0.4363,0.45,CPI_Jan2025,2.88,Powell_Jackson_Hole,-7.1518,-0.9751,-0.4471
full_year,pre_short_120,-16.8365,-17.4224,-1.7677,-1.8431,20,-0.8885,-0.7254,0.45,CPI_Feb2025,1.9688,Powell_Jackson_Hole,-7.2015,-1.0389,-0.5562
full_year,momentum_5,3.6132,-1.4733,0.3604,-0.1479,20,0.1802,0.1362,0.6,FOMC_Press_Conference_Oct,2.2097,CPI_Mar2025,-0.8506,0.0733,0.2344
full_year,momentum_15,12.212,-1.9425,1.1804,-0.1948,20,0.588,0.399,0.6,Powell_Jackson_Hole,5.2412,CPI_Mar2025,-1.1617,0.3431,0.6801
full_year,momentum_30,15.5879,-1.7011,1.4793,-0.1704,20,0.7354,0.5043,0.7,Powell_Jackson_Hole,4.6916,CPI_Mar2025,-1.4487,0.5271,0.8503
full_year,momentum_60,19.9916,-2.9437,1.8703,-0.2961,20,0.9282,0.7958,0.75,Powell_Jackson_Hole,5.5836,CPI_Feb2025,-1.6089,0.6832,1.0618
full_year,straddle_TP0.5_SL0.5,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0
full_year,straddle_TP0.5_SL1.0,0.2375,-1.0018,0.0249,-0.1,20,0.0125,-0.25,0.35,CPI_Jan2025,0.5,CPI_Dec2024,-0.25,-0.0132,0.0263
full_year,straddle_TP0.5_SL1.5,-2.6196,-3.0968,-0.263,-0.3127,20,-0.1315,-0.5,0.35,CPI_Jan2025,0.5,CPI_Dec2024,-0.5,-0.1648,-0.1121
full_year,straddle_TP0.5_SL2.0,-3.1205,-3.4673,-0.313,-0.3497,20,-0.1565,-0.4403,0.45,CPI_Jan2025,0.5,CPI_Dec2024,-0.75,-0.1911,-0.1253
