event_type,strategy,config,n,mean_raw,median_raw,win_rate_raw,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_afterfees,win_rate_afterfees,realized_max_dd_raw_pct
CPI,pre_long,exit+15m,11,0.6995,0.8526,0.6364,CPI_Jul2025,2.9666,CPI_Jan2025,-1.9713,0.4728,0.9666,0.5995,0.6364,-1.9351
CPI,pre_long,exit+30m,11,0.8691,0.7741,0.7273,CPI_Jul2025,2.9197,CPI_Jan2025,-1.9229,0.664,1.1483,0.7691,0.7273,-1.8713
CPI,pre_long,exit+60m,11,0.8236,1.6695,0.6364,CPI_Jul2025,3.244,CPI_Jan2025,-2.88,0.5815,1.1939,0.7236,0.6364,-3.8805
CPI,pre_long,exit+120m,11,0.8666,2.0793,0.5455,CPI_Dec2024,4.3242,CPI_Feb2025,-1.9688,0.5209,1.1502,0.7666,0.5455,-5.4574
PPI,pre_long,exit+15m,10,0.0968,0.4442,0.6,PPI_Aug2025,0.9967,PPI_Jul2025,-2.1223,-0.0032,0.3434,-0.0032,0.6,-2.0618
PPI,pre_long,exit+30m,10,-0.1729,0.0229,0.5,PPI_Aug2025,0.8075,PPI_Jul2025,-3.1977,-0.2818,0.1632,-0.2729,0.5,-3.1531
PPI,pre_long,exit+60m,10,-0.1693,0.236,0.5,PPI_Dec2024,0.9573,PPI_Jul2025,-3.9238,-0.2945,0.2479,-0.2693,0.5,-3.8483
PPI,pre_long,exit+120m,10,-0.1197,-0.7485,0.4,PPI_Aug2025,2.0472,PPI_Sep2025_Delayed,-1.5218,-0.3605,0.0361,-0.2197,0.4,-3.6795
ALL,pre_long,exit+15m,21,0.4125,0.6435,0.619,CPI_Jul2025,2.9666,PPI_Jul2025,-2.1223,0.2848,0.5393,0.3125,0.619,-1.9878
ALL,pre_long,exit+30m,21,0.3729,0.5096,0.619,CPI_Jul2025,2.9197,PPI_Jul2025,-3.1977,0.2456,0.5514,0.2729,0.619,-2.9481
ALL,pre_long,exit+60m,21,0.3508,0.5748,0.5714,CPI_Jul2025,3.244,PPI_Jul2025,-3.9238,0.2061,0.5645,0.2508,0.5714,-4.543
ALL,pre_long,exit+120m,21,0.3969,-0.6553,0.4762,CPI_Dec2024,4.3242,CPI_Feb2025,-1.9688,0.2006,0.5152,0.2969,0.4762,-7.7219
CPI,pre_short,exit+15m,11,-0.6995,-0.8526,0.3636,CPI_Jan2025,1.9713,CPI_Jul2025,-2.9666,-0.9666,-0.4728,-0.7995,0.2727,-7.7893
CPI,pre_short,exit+30m,11,-0.8691,-0.7741,0.2727,CPI_Jan2025,1.9229,CPI_Jul2025,-2.9197,-1.1483,-0.664,-0.9691,0.2727,-9.56
CPI,pre_short,exit+60m,11,-0.8236,-1.6695,0.3636,CPI_Jan2025,2.88,CPI_Jul2025,-3.244,-1.1939,-0.5815,-0.9236,0.3636,-10.4271
CPI,pre_short,exit+120m,11,-0.8666,-2.0793,0.4545,CPI_Feb2025,1.9688,CPI_Dec2024,-4.3242,-1.1502,-0.5209,-0.9666,0.4545,-10.755
PPI,pre_short,exit+15m,10,-0.0968,-0.4442,0.4,PPI_Jul2025,2.1223,PPI_Aug2025,-0.9967,-0.3434,0.0032,-0.1968,0.2,-2.9326
PPI,pre_short,exit+30m,10,0.1729,-0.0229,0.5,PPI_Jul2025,3.1977,PPI_Aug2025,-0.8075,-0.1632,0.2818,0.0729,0.5,-1.4124
PPI,pre_short,exit+60m,10,0.1693,-0.236,0.5,PPI_Jul2025,3.9238,PPI_Dec2024,-0.9573,-0.2479,0.2945,0.0693,0.3,-1.9626
PPI,pre_short,exit+120m,10,0.1197,0.7485,0.6,PPI_Sep2025_Delayed,1.5218,PPI_Aug2025,-2.0472,-0.0361,0.3605,0.0197,0.6,-3.3347
ALL,pre_short,exit+15m,21,-0.4125,-0.6435,0.381,PPI_Jul2025,2.1223,CPI_Jul2025,-2.9666,-0.5393,-0.2848,-0.5125,0.2381,-8.9421
ALL,pre_short,exit+30m,21,-0.3729,-0.5096,0.381,PPI_Jul2025,3.1977,CPI_Jul2025,-2.9197,-0.5514,-0.2456,-0.4729,0.381,-8.4642
ALL,pre_short,exit+60m,21,-0.3508,-0.5748,0.4286,PPI_Jul2025,3.9238,CPI_Jul2025,-3.244,-0.5645,-0.2061,-0.4508,0.3333,-10.0863
ALL,pre_short,exit+120m,21,-0.3969,0.6553,0.5238,CPI_Feb2025,1.9688,CPI_Dec2024,-4.3242,-0.5152,-0.2006,-0.4969,0.5238,-11.7526
CPI,momentum_entry+1m,exit+5m,11,-0.0403,0.0962,0.5455,CPI_Jan2025,1.1426,CPI_Mar2025,-0.8506,-0.1586,0.0407,-0.1403,0.4545,-1.7806
CPI,momentum_entry+1m,exit+15m,11,0.0333,0.4541,0.5455,CPI_Jul2025,1.1699,CPI_Mar2025,-1.1617,-0.0804,0.1528,-0.0667,0.5455,-2.1912
CPI,momentum_entry+1m,exit+30m,11,0.2919,0.2685,0.6364,CPI_Nov2025_Delayed,2.1804,CPI_Mar2025,-1.4487,0.103,0.4659,0.1919,0.6364,-1.7684
CPI,momentum_entry+1m,exit+60m,11,0.4701,0.853,0.6364,CPI_Jan2025,2.1793,CPI_Feb2025,-1.6089,0.2992,0.678,0.3701,0.6364,-3.0679
PPI,momentum_entry+1m,exit+5m,10,0.2146,0.0995,0.6,PPI_Jul2025,1.5343,PPI_Sep2025_Delayed,-0.3445,0.068,0.2768,0.1146,0.5,-0.3361
PPI,momentum_entry+1m,exit+15m,10,0.0759,0.0076,0.5,PPI_Jul2025,1.2795,PPI_Sep2025_Delayed,-0.9345,-0.0578,0.1882,-0.0241,0.4,-0.9281
PPI,momentum_entry+1m,exit+30m,10,-0.0256,-0.1866,0.2,PPI_Jul2025,2.3216,PPI_Sep2025_Delayed,-0.7816,-0.2864,0.0584,-0.1256,0.2,-1.7488
PPI,momentum_entry+1m,exit+60m,10,0.1787,-0.0874,0.4,PPI_Jul2025,3.1012,PPI_Sep2025_Delayed,-0.9734,-0.146,0.3067,0.0787,0.3,-1.2586
ALL,momentum_entry+1m,exit+5m,21,0.0811,0.0962,0.5714,PPI_Jul2025,1.5343,CPI_Mar2025,-0.8506,0.0084,0.1277,-0.0189,0.4762,-1.7128
ALL,momentum_entry+1m,exit+15m,21,0.0536,0.0246,0.5238,PPI_Jul2025,1.2795,CPI_Mar2025,-1.1617,-0.0077,0.1144,-0.0464,0.4762,-2.2325
ALL,momentum_entry+1m,exit+30m,21,0.1407,-0.1237,0.4286,PPI_Jul2025,2.3216,CPI_Mar2025,-1.4487,0.0316,0.2202,0.0407,0.4286,-2.8295
ALL,momentum_entry+1m,exit+60m,21,0.3314,0.0831,0.5238,PPI_Jul2025,3.1012,CPI_Feb2025,-1.6089,0.1929,0.4284,0.2314,0.4762,-3.2383
CPI,straddle,TP0.5/SL0.5,11,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
CPI,straddle,TP0.5/SL1.0,11,-0.2273,-0.5,0.1818,CPI_Jan2025,1.0,CPI_Dec2024,-0.5,-0.35,-0.2,-0.4273,0.1818,-2.9851
CPI,straddle,TP0.5/SL1.5,11,-0.6364,-1.0,0.1818,CPI_Jan2025,1.0,CPI_Dec2024,-1.0,-0.8,-0.6,-0.8364,0.1818,-7.0
CPI,straddle,TP0.5/SL2.0,11,-0.5909,-1.5,0.3636,CPI_Jan2025,1.0,CPI_Dec2024,-1.5,-0.75,-0.5,-0.7909,0.3636,-7.8818
CPI,straddle,TP1.0/SL0.5,11,0.2273,0.5,0.8182,CPI_Dec2024,0.5,CPI_Jan2025,-1.0,0.2,0.35,0.0273,0.8182,-0.995
