event_name,event_type,event_utc,ret_-10m_to_+15m,ret_-10m_to_+30m,ret_-10m_to_+60m,ret_-10m_to_+120m,ret_event_to_+15m,ret_event_to_+30m,ret_event_to_+60m,hl_range_event_to_+60m,hl_range_event_to_+60m_pct,hl_range_-60m_to_+60m,hl_range_-60m_to_+60m_pct,realized_vol_-60_+60_pct
PPI_Dec2024,PPI,2025-01-14 13:30,0.6435,0.7632,0.9573,0.5872,0.7343,0.8541,1.0484,51.04,1.6051,53.77,1.6909,1.4993
CPI_Dec2024,CPI,2025-01-15 13:30,1.8688,2.7599,2.4482,4.3242,1.6047,2.4935,2.1826,95.81,2.9784,127.26,3.9561,1.7567
CPI_Jan2025,CPI,2025-02-12 13:30,-1.9713,-1.9229,-2.88,-1.825,-2.4517,-2.4036,-3.356,113.65,4.2749,113.65,4.2749,2.7855
PPI_Jan2025,PPI,2025-02-13 13:30,-0.0665,-0.1443,-0.617,-0.6553,0.177,0.0991,-0.3748,63.23,2.3816,63.23,2.3816,1.0936
CPI_Feb2025,CPI,2025-03-12 12:30,0.2842,0.7334,-0.3573,-1.9688,-0.2012,0.2459,-0.8395,45.34,2.357,45.34,2.357,1.7391
PPI_Feb2025,PPI,2025-03-13 12:30,-0.0021,-0.1674,-0.0174,-0.8418,-0.375,-0.5397,-0.3902,36.09,1.8929,36.09,1.8929,1.4537
CPI_Mar2025,CPI,2025-04-10 12:30,-0.1,-0.4513,-0.7382,-1.8996,-0.8966,-1.2451,-1.5297,45.81,2.8406,46.49,2.8827,1.6799
PPI_Mar2025,PPI,2025-04-11 12:30,0.245,-0.1167,-0.0879,-0.9107,0.2579,-0.1039,-0.075,24.4,1.5651,24.4,1.5651,1.0663
CPI_Apr2025,CPI,2025-05-13 12:30,1.4282,0.9896,1.7732,2.0793,1.2924,0.8544,1.6369,48.65,1.9443,59.87,2.3927,1.6395
PPI_Apr2025,PPI,2025-05-15 12:30,0.6881,0.1625,0.4895,-1.2933,0.6071,0.082,0.4087,36.12,1.4166,36.99,1.4507,1.1993
CPI_May2025,CPI,2025-06-11 12:30,1.5706,1.2492,1.6695,2.6198,1.4716,1.1506,1.5705,50.11,1.8074,61.4,2.2147,1.4589
PPI_May2025,PPI,2025-06-12 12:30,0.7764,0.5096,0.5916,1.3606,0.7002,0.4336,0.5155,25.79,0.9469,36.89,1.3544,0.9295
CPI_Jun2025,CPI,2025-07-15 12:30,-0.0376,0.7741,1.8025,2.3619,-0.1668,0.6439,1.671,67.54,2.2663,72.92,2.4468,1.1359
PPI_Jun2025,PPI,2025-07-16 12:30,0.6484,0.4056,0.6465,1.3951,0.3093,0.0674,0.3074,35.69,1.1288,43.39,1.3724,0.9482
CPI_Jul2025,CPI,2025-08-12 12:30,2.9666,2.9197,3.244,2.9213,2.3789,2.3322,2.6546,129.48,3.008,164.99,3.8329,1.7695
PPI_Jul2025,PPI,2025-08-14 12:30,-2.1223,-3.1977,-3.9238,-1.3644,-2.0102,-3.0868,-3.8138,259.5,5.5049,281.99,5.982,2.8652
PPI_Aug2025,PPI,2025-09-10 12:30,0.9967,0.8075,0.8232,2.0472,0.7884,0.5996,0.6152,52.0,1.1973,74.87,1.7238,1.0756
CPI_Aug2025,CPI,2025-09-11 12:30,-0.7098,-0.4576,-0.8815,-0.8561,-1.3067,-1.056,-1.4773,154.56,3.4564,154.56,3.4564,2.4806
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,0.8526,0.515,0.5748,-0.9906,0.5585,0.2218,0.2815,77.62,1.9633,102.48,2.5921,1.4254
PPI_Sep2025_Delayed,PPI,2025-11-25 13:30,-0.8388,-0.751,-0.555,-1.5218,-0.7937,-0.7059,-0.5098,36.38,1.243,37.5,1.2813,1.0291
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,1.5425,2.4509,2.4039,2.7666,1.6304,2.5395,2.4925,105.41,3.648,137.93,4.7735,1.9493
