event_name,event_type,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
PPI_Dec2024,PPI,15,3182.83,3203.31,-0.643453,-0.743453
PPI_Dec2024,PPI,30,3182.83,3207.12,-0.763157,-0.863157
PPI_Dec2024,PPI,60,3182.83,3213.3,-0.957324,-1.057324
PPI_Dec2024,PPI,120,3182.83,3201.52,-0.587213,-0.687213
CPI_Dec2024,CPI,15,3208.46,3268.42,-1.868809,-1.968809
CPI_Dec2024,CPI,30,3208.46,3297.01,-2.759891,-2.859891
CPI_Dec2024,CPI,60,3208.46,3287.01,-2.448215,-2.548215
CPI_Dec2024,CPI,120,3208.46,3347.2,-4.324193,-4.424193
CPI_Jan2025,CPI,15,2645.49,2593.34,1.971279,1.871279
CPI_Jan2025,CPI,30,2645.49,2594.62,1.922895,1.822895
CPI_Jan2025,CPI,60,2645.49,2569.3,2.879996,2.779996
CPI_Jan2025,CPI,120,2645.49,2597.21,1.824993,1.724993
PPI_Jan2025,PPI,15,2661.45,2659.68,0.066505,-0.033495
PPI_Jan2025,PPI,30,2661.45,2657.61,0.144282,0.044282
PPI_Jan2025,PPI,60,2661.45,2645.03,0.616957,0.516957
PPI_Jan2025,PPI,120,2661.45,2644.01,0.655282,0.555282
CPI_Feb2025,CPI,15,1914.35,1919.79,-0.28417,-0.38417
CPI_Feb2025,CPI,30,1914.35,1928.39,-0.733408,-0.833408
CPI_Feb2025,CPI,60,1914.35,1907.51,0.357301,0.257301
CPI_Feb2025,CPI,120,1914.35,1876.66,1.968814,1.868814
PPI_Feb2025,PPI,15,1899.47,1899.43,0.002106,-0.097894
PPI_Feb2025,PPI,30,1899.47,1896.29,0.167415,0.067415
PPI_Feb2025,PPI,60,1899.47,1899.14,0.017373,-0.082627
PPI_Feb2025,PPI,120,1899.47,1883.48,0.841814,0.741814
CPI_Mar2025,CPI,15,1599.84,1598.24,0.10001,1e-05
CPI_Mar2025,CPI,30,1599.84,1592.62,0.451295,0.351295
CPI_Mar2025,CPI,60,1599.84,1588.03,0.738199,0.638199
CPI_Mar2025,CPI,120,1599.84,1569.45,1.899565,1.799565
PPI_Mar2025,PPI,15,1559.22,1563.04,-0.244994,-0.344994
PPI_Mar2025,PPI,30,1559.22,1557.4,0.116725,0.016725
PPI_Mar2025,PPI,60,1559.22,1557.85,0.087864,-0.012136
PPI_Mar2025,PPI,120,1559.22,1545.02,0.910712,0.810712
CPI_Apr2025,CPI,15,2498.89,2534.58,-1.428234,-1.528234
CPI_Apr2025,CPI,30,2498.89,2523.62,-0.989639,-1.089639
CPI_Apr2025,CPI,60,2498.89,2543.2,-1.773187,-1.873187
CPI_Apr2025,CPI,120,2498.89,2550.85,-2.079323,-2.179323
PPI_Apr2025,PPI,15,2547.74,2565.27,-0.688061,-0.788061
PPI_Apr2025,PPI,30,2547.74,2551.88,-0.162497,-0.262497
PPI_Apr2025,PPI,60,2547.74,2560.21,-0.489453,-0.589453
PPI_Apr2025,PPI,120,2547.74,2514.79,1.293303,1.193303
CPI_May2025,CPI,15,2769.72,2813.22,-1.570556,-1.670556
CPI_May2025,CPI,30,2769.72,2804.32,-1.249224,-1.349224
CPI_May2025,CPI,60,2769.72,2815.96,-1.669483,-1.769483
CPI_May2025,CPI,120,2769.72,2842.28,-2.619759,-2.719759
PPI_May2025,PPI,15,2721.57,2742.7,-0.77639,-0.87639
PPI_May2025,PPI,30,2721.57,2735.44,-0.509632,-0.609632
PPI_May2025,PPI,60,2721.57,2737.67,-0.59157,-0.69157
PPI_May2025,PPI,120,2721.57,2758.6,-1.360612,-1.460612
CPI_Jun2025,CPI,15,2976.36,2975.24,0.03763,-0.06237
