datetime_utc,open,high,low,close,volume,num_trades
2025-02-13 13:15:00,2657.92,2657.92,2651.93,2654.73,2315.409,0
2025-02-13 13:16:00,2654.72,2657.94,2652.64,2657.9,1722.645,0
2025-02-13 13:17:00,2657.89,2661.0,2657.89,2660.57,1254.177,0
2025-02-13 13:18:00,2660.57,2661.36,2659.65,2660.96,848.234,0
2025-02-13 13:19:00,2660.95,2661.46,2658.76,2661.44,928.191,0
2025-02-13 13:20:00,2661.45,2661.75,2659.5,2661.46,972.869,0
2025-02-13 13:21:00,2661.46,2661.46,2659.74,2661.39,1083.197,0
2025-02-13 13:22:00,2661.38,2662.81,2660.86,2662.43,1024.543,0
2025-02-13 13:23:00,2662.43,2663.7,2662.14,2662.32,778.358,0
2025-02-13 13:24:00,2662.32,2663.01,2661.1,2662.77,946.975,0
2025-02-13 13:25:00,2662.78,2663.6,2661.93,2663.1,732.582,0
2025-02-13 13:26:00,2663.1,2663.1,2660.98,2661.2,643.094,0
2025-02-13 13:27:00,2661.2,2661.61,2656.54,2657.44,1538.816,0
2025-02-13 13:28:00,2657.44,2658.4,2656.93,2657.56,1023.311,0
2025-02-13 13:29:00,2657.56,2657.56,2653.86,2654.98,1703.831,0
2025-02-13 13:30:00,2654.98,2677.83,2654.97,2659.71,30747.001,0
2025-02-13 13:31:00,2659.7,2663.14,2657.31,2658.44,5817.23,0
2025-02-13 13:32:00,2658.51,2661.92,2651.0,2660.96,7830.933,0
2025-02-13 13:33:00,2660.95,2668.59,2659.6,2668.38,4453.529,0
2025-02-13 13:34:00,2668.29,2672.55,2664.86,2668.5,7607.609,0
2025-02-13 13:35:00,2668.5,2672.77,2665.36,2671.62,5201.621,0
2025-02-13 13:36:00,2671.62,2672.46,2663.08,2664.75,6606.187,0
2025-02-13 13:37:00,2664.76,2666.96,2661.1,2666.93,2380.999,0
2025-02-13 13:38:00,2666.92,2668.84,2663.62,2663.63,2514.224,0
2025-02-13 13:39:00,2663.63,2666.2,2661.53,2664.98,2426.183,0
2025-02-13 13:40:00,2664.97,2665.61,2659.49,2665.35,2207.876,0
2025-02-13 13:41:00,2665.39,2666.24,2663.85,2664.72,2304.827,0
2025-02-13 13:42:00,2664.71,2667.26,2663.53,2667.16,1648.285,0
2025-02-13 13:43:00,2667.16,2668.0,2663.25,2663.64,1345.405,0
2025-02-13 13:44:00,2663.63,2664.62,2659.44,2659.68,1487.247,0
2025-02-13 13:45:00,2659.68,2659.68,2652.55,2656.78,4561.833,0
2025-02-13 13:46:00,2656.77,2656.77,2652.41,2653.05,3902.091,0
2025-02-13 13:47:00,2653.05,2656.67,2653.05,2656.41,1614.994,0
2025-02-13 13:48:00,2656.4,2659.83,2654.23,2657.83,1578.559,0
2025-02-13 13:49:00,2657.82,2659.71,2656.3,2658.01,1028.219,0
2025-02-13 13:50:00,2658.0,2658.0,2653.94,2655.81,1257.967,0
2025-02-13 13:51:00,2655.8,2660.7,2655.4,2659.72,1189.823,0
2025-02-13 13:52:00,2659.72,2660.37,2658.03,2659.48,1329.261,0
2025-02-13 13:53:00,2659.48,2659.49,2657.61,2659.2,942.988,0
2025-02-13 13:54:00,2659.2,2662.0,2658.83,2660.74,1763.901,0
2025-02-13 13:55:00,2660.75,2662.27,2658.64,2660.66,925.874,0
2025-02-13 13:56:00,2660.66,2662.54,2660.66,2662.38,1288.559,0
2025-02-13 13:57:00,2662.38,2662.38,2659.21,2660.59,805.411,0
2025-02-13 13:58:00,2660.58,2661.68,2658.7,2659.9,460.819,0
2025-02-13 13:59:00,2659.91,2660.89,2657.35,2657.6,681.02,0
2025-02-13 14:00:00,2657.61,2657.62,2653.21,2656.41,2546.803,0
2025-02-13 14:01:00,2656.41,2656.6,2651.7,2653.46,3099.58,0
2025-02-13 14:02:00,2653.46,2653.96,2650.41,2652.18,4299.664,0
2025-02-13 14:03:00,2652.19,2654.33,2650.15,2654.32,2791.166,0
2025-02-13 14:04:00,2654.32,2656.44,2652.92,2655.5,2253.407,0
