anchor,strategy,config,n,cumulative_return_pct,max_drawdown_pct,mean_pct,median_pct,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner
A_statement_1400ET,pre_long,pre_long_15,8,-2.9134,-2.9134,-0.3674,-0.3797,0.25,FOMC_Mar,0.4708,FOMC_Sep,-1.1592,-0.4872
A_statement_1400ET,pre_long,pre_long_30,8,-3.3168,-3.3168,-0.4184,-0.2968,0.25,FOMC_Jun,0.3477,FOMC_Jan,-1.9942,-0.5278
A_statement_1400ET,pre_long,pre_long_60,8,-4.4884,-5.8927,-0.5669,-0.4338,0.25,FOMC_Mar,1.3276,FOMC_Oct,-2.2131,-0.8376
A_statement_1400ET,pre_long,pre_long_120,8,-4.2051,-5.2104,-0.5302,-0.2453,0.5,FOMC_Mar,0.5902,FOMC_Oct,-2.5066,-0.6903
A_statement_1400ET,pre_short,pre_short_15,8,2.9655,-0.4708,0.3674,0.3797,0.75,FOMC_Sep,1.1592,FOMC_Mar,-0.4708,0.2543
A_statement_1400ET,pre_short,pre_short_30,8,3.3775,-0.4948,0.4184,0.2968,0.75,FOMC_Jan,1.9942,FOMC_Jun,-0.3477,0.1933
A_statement_1400ET,pre_short,pre_short_60,8,4.5812,-1.4879,0.5669,0.4338,0.75,FOMC_Oct,2.2131,FOMC_Mar,-1.3276,0.3317
A_statement_1400ET,pre_short,pre_short_120,8,4.278,-1.0551,0.5302,0.2453,0.5,FOMC_Oct,2.5066,FOMC_Mar,-0.5902,0.2479
A_statement_1400ET,momentum,momentum_5,8,-2.0858,-2.5397,-0.2612,-0.2098,0.5,FOMC_Oct,0.485,FOMC_Mar,-1.124,-0.3677
A_statement_1400ET,momentum,momentum_15,8,-0.7245,-2.3144,-0.0892,-0.2236,0.375,FOMC_Jan,1.061,FOMC_Sep,-0.8408,-0.2535
A_statement_1400ET,momentum,momentum_30,8,-0.9515,-2.3064,-0.1169,-0.2538,0.375,FOMC_Jan,1.3869,FOMC_Mar,-1.0319,-0.3317
A_statement_1400ET,momentum,momentum_60,8,-2.4858,-3.9525,-0.3077,-0.361,0.375,FOMC_Oct,1.915,FOMC_Jul,-2.2265,-0.6253
A_statement_1400ET,straddle,straddle_TP0.5_SL0.5,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
A_statement_1400ET,straddle,straddle_TP0.5_SL1.0,8,-2.4824,-2.4824,-0.3125,-0.5,0.125,FOMC_Jul,1.0,FOMC_Jan,-0.5,-0.5
A_statement_1400ET,straddle,straddle_TP0.5_SL1.5,8,-0.04,-1.99,0.0,0.0,0.5,FOMC_May,1.0,FOMC_Jan,-1.0,-0.1429
A_statement_1400ET,straddle,straddle_TP0.5_SL2.0,8,-2.0441,-3.014,-0.25,-0.25,0.5,FOMC_May,1.0,FOMC_Jan,-1.5,-0.4286
A_statement_1400ET,straddle,straddle_TP1.0_SL0.5,8,2.5174,-1.0,0.3125,0.5,0.875,FOMC_Jan,0.5,FOMC_Jul,-1.0,0.2857
A_statement_1400ET,straddle,straddle_TP1.0_SL1.0,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
A_statement_1400ET,straddle,straddle_TP1.0_SL1.5,8,-1.867,-1.985,-0.2342,-0.5,0.25,FOMC_Jun,0.7561,FOMC_Jan,-0.5,-0.3757
A_statement_1400ET,straddle,straddle_TP1.0_SL2.0,8,-1.9037,-3.8271,-0.2342,-1.0,0.375,FOMC_Dec,2.0,FOMC_Jan,-1.0,-0.5534
A_statement_1400ET,straddle,straddle_TP1.5_SL0.5,8,-0.04,-2.9701,0.0,0.0,0.5,FOMC_Jan,1.0,FOMC_May,-1.0,-0.1429
A_statement_1400ET,straddle,straddle_TP1.5_SL1.0,8,1.88,-1.1236,0.2342,0.5,0.75,FOMC_Jan,0.5,FOMC_Jun,-0.7561,0.1962
A_statement_1400ET,straddle,straddle_TP1.5_SL1.5,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
A_statement_1400ET,straddle,straddle_TP1.5_SL2.0,8,-2.4681,-2.4751,-0.3116,-0.5,0.125,FOMC_Dec,0.0072,FOMC_Jan,-0.5,-0.3571
A_statement_1400ET,straddle,straddle_TP2.0_SL0.5,8,1.9542,-2.9701,0.25,0.25,0.5,FOMC_Jan,1.5,FOMC_May,-1.0,0.0714
A_statement_1400ET,straddle,straddle_TP2.0_SL1.0,8,1.8417,-2.0,0.2342,1.0,0.625,FOMC_Jan,1.0,FOMC_Dec,-2.0,0.1248
A_statement_1400ET,straddle,straddle_TP2.0_SL1.5,8,2.5178,-0.0072,0.3116,0.5,0.625,FOMC_Jan,0.5,FOMC_Dec,-0.0072,0.2847
A_statement_1400ET,straddle,straddle_TP2.0_SL2.0,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
A_statement_1400ET,straddle,straddle_TP3.0_SL0.5,8,-4.2521,-5.6438,-0.5351,-1.0,0.125,FOMC_Oct,2.5,FOMC_Jan,-1.0,-0.9687
A_statement_1400ET,straddle,straddle_TP3.0_SL1.0,8,-4.419,-5.0391,-0.5509,-1.0186,0.25,FOMC_Jul,2.0,FOMC_Jan,-2.0,-0.9154
A_statement_1400ET,straddle,straddle_TP3.0_SL1.5,8,-2.7203,-4.1511,-0.3337,-0.0036,0.25,FOMC_Jul,1.5,FOMC_Jan,-3.0,-0.5957
A_statement_1400ET,straddle,straddle_TP3.0_SL2.0,8,-4.1077,-5.0571,-0.5147,0.0,0.25,FOMC_Jul,1.0,FOMC_Jan,-2.4551,-0.7311
B_pressconf_1430ET,pre_long,pre_long_15,8,-2.5395,-5.1836,-0.3105,-0.1596,0.5,FOMC_Jan,2.1775,FOMC_Oct,-3.3652,-0.6659
B_pressconf_1430ET,pre_long,pre_long_30,8,-1.7553,-4.789,-0.2134,-0.2318,0.375,FOMC_Jan,1.898,FOMC_Oct,-2.0087,-0.5151
B_pressconf_1430ET,pre_long,pre_long_60,8,-0.6545,-3.9135,-0.0705,-0.0324,0.375,FOMC_Jan,3.0849,FOMC_Jul,-2.276,-0.5213
B_pressconf_1430ET,pre_long,pre_long_120,8,0.9729,-2.7174,0.1294,0.1159,0.5,FOMC_Jan,2.66,FOMC_Oct,-1.5425,-0.2321
B_pressconf_1430ET,pre_short,pre_short_15,8,2.426,-2.7609,0.3105,0.1596,0.5,FOMC_Oct,3.3652,FOMC_Jan,-2.1775,-0.1259
B_pressconf_1430ET,pre_short,pre_short_30,8,1.658,-3.1335,0.2134,0.2318,0.625,FOMC_Oct,2.0087,FOMC_Jan,-1.898,-0.0431
B_pressconf_1430ET,pre_short,pre_short_60,8,0.4723,-3.0849,0.0705,0.0324,0.625,FOMC_Jul,2.276,FOMC_Jan,-3.0849,-0.2445
B_pressconf_1430ET,pre_short,pre_short_120,8,-1.0972,-3.7351,-0.1294,-0.1159,0.5,FOMC_Oct,1.5425,FOMC_Jan,-2.66,-0.3682
B_pressconf_1430ET,momentum,momentum_5,8,2.5725,-0.7486,0.3209,0.1714,0.625,FOMC_Oct,2.2097,FOMC_May,-0.3705,0.051
B_pressconf_1430ET,momentum,momentum_15,8,6.271,-0.29,0.769,0.3148,0.625,FOMC_Jan,2.5817,FOMC_Dec,-0.29,0.51
B_pressconf_1430ET,momentum,momentum_30,8,6.9884,-0.256,0.8506,0.9054,0.75,FOMC_Jul,1.9016,FOMC_May,-0.256,0.7005
B_pressconf_1430ET,momentum,momentum_60,8,8.0328,-0.3043,0.9762,0.5601,0.875,FOMC_Jan,3.0595,FOMC_Sep,-0.3043,0.6786
