anchor,event_name,side,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
A_statement_1400ET,FOMC_Jan,long,15,3120.01,3088.88,-0.997753,-0.997753
A_statement_1400ET,FOMC_Jan,long,30,3120.01,3057.79,-1.994224,-1.994224
A_statement_1400ET,FOMC_Jan,long,60,3120.01,3125.08,0.162499,0.162499
A_statement_1400ET,FOMC_Jan,long,120,3120.01,3134.6,0.467627,0.467627
A_statement_1400ET,FOMC_Jan,short,15,3120.01,3088.88,0.997753,0.997753
A_statement_1400ET,FOMC_Jan,short,30,3120.01,3057.79,1.994224,1.994224
A_statement_1400ET,FOMC_Jan,short,60,3120.01,3125.08,-0.162499,-0.162499
A_statement_1400ET,FOMC_Jan,short,120,3120.01,3134.6,-0.467627,-0.467627
A_statement_1400ET,FOMC_Mar,long,15,2018.0,2027.5,0.470763,0.470763
A_statement_1400ET,FOMC_Mar,long,30,2018.0,2016.6,-0.069376,-0.069376
A_statement_1400ET,FOMC_Mar,long,60,2018.0,2044.79,1.327552,1.327552
A_statement_1400ET,FOMC_Mar,long,120,2018.0,2029.91,0.590188,0.590188
A_statement_1400ET,FOMC_Mar,short,15,2018.0,2027.5,-0.470763,-0.470763
A_statement_1400ET,FOMC_Mar,short,30,2018.0,2016.6,0.069376,0.069376
A_statement_1400ET,FOMC_Mar,short,60,2018.0,2044.79,-1.327552,-1.327552
A_statement_1400ET,FOMC_Mar,short,120,2018.0,2029.91,-0.590188,-0.590188
A_statement_1400ET,FOMC_May,long,15,1807.07,1795.0,-0.667932,-0.667932
A_statement_1400ET,FOMC_May,long,30,1807.07,1801.17,-0.326495,-0.326495
A_statement_1400ET,FOMC_May,long,60,1807.07,1805.57,-0.083007,-0.083007
A_statement_1400ET,FOMC_May,long,120,1807.07,1795.07,-0.664058,-0.664058
A_statement_1400ET,FOMC_May,short,15,1807.07,1795.0,0.667932,0.667932
A_statement_1400ET,FOMC_May,short,30,1807.07,1801.17,0.326495,0.326495
A_statement_1400ET,FOMC_May,short,60,1807.07,1805.57,0.083007,0.083007
