anchor,event_name,event_utc,ret_-10_+15,ret_-10_+30,ret_-10_+60,ret_-10_+120,ret_evt_+15,ret_evt_+30,ret_evt_+60
A_statement_1400ET,FOMC_Jan,2025-01-29 19:00,-0.9978,-1.9942,0.1625,0.4676,-1.2052,-2.1995,-0.0473
A_statement_1400ET,FOMC_Mar,2025-03-19 18:00,0.4708,-0.0694,1.3276,0.5902,0.0498,-0.488,0.903
A_statement_1400ET,FOMC_May,2025-05-07 18:00,-0.6679,-0.3265,-0.083,-0.6641,-0.015,0.3286,0.5737
A_statement_1400ET,FOMC_Jun,2025-06-18 18:00,0.2406,0.3477,-0.4378,0.2483,-0.1711,-0.0645,-0.8468
A_statement_1400ET,FOMC_Jul,2025-07-30 18:00,-0.0666,0.1476,-1.6851,-1.0983,-0.1504,0.0636,-1.7675
A_statement_1400ET,FOMC_Sep,2025-09-17 18:00,-1.1592,-0.2671,-1.1765,0.1735,0.6568,1.5653,0.6392
A_statement_1400ET,FOMC_Oct,2025-10-29 18:00,-0.5719,-0.3334,-2.2131,-2.5066,-0.7883,-0.5503,-2.4258
A_statement_1400ET,FOMC_Dec,2025-12-10 19:00,-0.1874,-0.8517,-0.4298,-1.4526,0.5098,-0.1592,0.2657
B_pressconf_1430ET,FOMC_Jan,2025-01-29 19:30,2.1775,1.898,3.0849,2.66,2.4809,2.2006,3.391
B_pressconf_1430ET,FOMC_Mar,2025-03-19 18:30,0.0865,1.0192,-0.0543,0.8725,0.4617,1.3979,0.3203
B_pressconf_1430ET,FOMC_May,2025-05-07 18:30,0.1033,0.2426,-0.5768,-0.372,0.1049,0.2443,-0.5752
B_pressconf_1430ET,FOMC_Jun,2025-06-18 18:30,0.4076,-0.5495,-0.0105,0.6037,0.172,-0.7828,-0.245
B_pressconf_1430ET,FOMC_Jul,2025-07-30 18:30,-0.4056,-1.8455,-2.276,-1.0342,-0.3899,-1.83,-2.2606
B_pressconf_1430ET,FOMC_Sep,2025-09-17 18:30,-0.7675,-0.4523,0.6861,0.847,-1.2255,-0.9118,0.2213
B_pressconf_1430ET,FOMC_Oct,2025-10-29 18:30,-3.3652,-2.0087,-1.7154,-1.5425,-3.2442,-1.886,-1.5923
B_pressconf_1430ET,FOMC_Dec,2025-12-10 19:30,-0.7202,-0.0112,0.2977,-0.9993,-0.2866,0.4255,0.7358
