anchor,event_name,direction,exit_after_entry_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
A_statement_1400ET,FOMC_Jan,short,5,3111.26,3096.77,0.465728,0.465728
A_statement_1400ET,FOMC_Jan,short,15,3111.26,3078.25,1.060985,1.060985
A_statement_1400ET,FOMC_Jan,short,30,3111.26,3068.11,1.386898,1.386898
A_statement_1400ET,FOMC_Jan,short,60,3111.26,3114.68,-0.109923,-0.109923
A_statement_1400ET,FOMC_Mar,long,5,2041.87,2018.92,-1.12397,-1.12397
A_statement_1400ET,FOMC_Mar,long,15,2041.87,2036.9,-0.243404,-0.243404
A_statement_1400ET,FOMC_Mar,long,30,2041.87,2020.8,-1.031897,-1.031897
A_statement_1400ET,FOMC_Mar,long,60,2041.87,2045.83,0.19394,0.19394
A_statement_1400ET,FOMC_May,long,5,1800.17,1802.7,0.140542,0.140542
A_statement_1400ET,FOMC_May,long,15,1800.17,1796.5,-0.20387,-0.20387
A_statement_1400ET,FOMC_May,long,30,1800.17,1800.51,0.018887,0.018887
A_statement_1400ET,FOMC_May,long,60,1800.17,1805.12,0.274974,0.274974
A_statement_1400ET,FOMC_Jun,long,5,2507.1,2485.64,-0.855969,-0.855969
A_statement_1400ET,FOMC_Jun,long,15,2507.1,2490.29,-0.670496,-0.670496
A_statement_1400ET,FOMC_Jun,long,30,2507.1,2492.27,-0.59152,-0.59152
A_statement_1400ET,FOMC_Jun,long,60,2507.1,2478.01,-1.160305,-1.160305
A_statement_1400ET,FOMC_Jul,long,5,3813.59,3792.23,-0.560102,-0.560102
A_statement_1400ET,FOMC_Jul,long,15,3813.59,3799.25,-0.376024,-0.376024
A_statement_1400ET,FOMC_Jul,long,30,3813.59,3800.96,-0.331184,-0.331184
A_statement_1400ET,FOMC_Jul,long,60,3813.59,3728.68,-2.226511,-2.226511
A_statement_1400ET,FOMC_Sep,long,5,4489.75,4502.36,0.280862,0.280862
A_statement_1400ET,FOMC_Sep,long,15,4489.75,4452.0,-0.840804,-0.840804
A_statement_1400ET,FOMC_Sep,long,30,4489.75,4481.83,-0.176402,-0.176402
A_statement_1400ET,FOMC_Sep,long,60,4489.75,4462.27,-0.612061,-0.612061
A_statement_1400ET,FOMC_Oct,short,5,4008.32,3988.88,0.484991,0.484991
A_statement_1400ET,FOMC_Oct,short,15,4008.32,3987.92,0.508941,0.508941
A_statement_1400ET,FOMC_Oct,short,30,4008.32,3989.16,0.478006,0.478006
A_statement_1400ET,FOMC_Oct,short,60,4008.32,3931.56,1.915017,1.915017
A_statement_1400ET,FOMC_Dec,long,5,3402.81,3371.46,-0.921297,-0.921297
A_statement_1400ET,FOMC_Dec,long,15,3402.81,3404.56,0.051428,0.051428
A_statement_1400ET,FOMC_Dec,long,30,3402.81,3379.4,-0.687961,-0.687961
A_statement_1400ET,FOMC_Dec,long,60,3402.81,3377.73,-0.737038,-0.737038
B_pressconf_1430ET,FOMC_Jan,long,5,3068.11,3074.89,0.220983,0.220983
B_pressconf_1430ET,FOMC_Jan,long,15,3068.11,3147.32,2.58172,2.58172
B_pressconf_1430ET,FOMC_Jan,long,30,3068.11,3114.68,1.517873,1.517873
B_pressconf_1430ET,FOMC_Jan,long,60,3068.11,3161.98,3.059538,3.059538
B_pressconf_1430ET,FOMC_Mar,long,5,2020.8,2023.26,0.121734,0.121734
B_pressconf_1430ET,FOMC_Mar,long,15,2020.8,2027.75,0.343923,0.343923
B_pressconf_1430ET,FOMC_Mar,long,30,2020.8,2045.83,1.238618,1.238618
B_pressconf_1430ET,FOMC_Mar,long,60,2020.8,2024.81,0.198436,0.198436
B_pressconf_1430ET,FOMC_May,short,5,1800.51,1807.18,-0.370451,-0.370451
B_pressconf_1430ET,FOMC_May,short,15,1800.51,1801.93,-0.078867,-0.078867
B_pressconf_1430ET,FOMC_May,short,30,1800.51,1805.12,-0.256039,-0.256039
