event_name,event_type,event_utc,minute_offset,timestamp_utc,open,high,low,close,close_pct_from_entry_open
FOMC_May,FOMC,2025-05-07 18:30,-1,2025-05-07 18:29,1802.53,1802.54,1801.1,1801.18,-0.0749
FOMC_May,FOMC,2025-05-07 18:30,0,2025-05-07 18:30,1801.17,1802.1,1798.29,1800.5,-0.1126
FOMC_May,FOMC,2025-05-07 18:30,1,2025-05-07 18:31,1800.51,1803.0,1800.51,1802.34,-0.0105
FOMC_May,FOMC,2025-05-07 18:30,2,2025-05-07 18:32,1802.34,1806.88,1802.34,1806.82,0.238
FOMC_May,FOMC,2025-05-07 18:30,3,2025-05-07 18:33,1806.84,1812.87,1806.65,1811.96,0.5232
FOMC_May,FOMC,2025-05-07 18:30,4,2025-05-07 18:34,1811.95,1816.55,1810.99,1811.08,0.4743
FOMC_May,FOMC,2025-05-07 18:30,5,2025-05-07 18:35,1811.08,1812.9,1807.17,1807.18,0.258
CPI_Apr2025,CPI,2025-05-13 12:30,-1,2025-05-13 12:29,2502.92,2503.8,2500.59,2502.3,-0.0248
CPI_Apr2025,CPI,2025-05-13 12:30,0,2025-05-13 12:30,2502.24,2527.75,2501.35,2514.25,0.4527
CPI_Apr2025,CPI,2025-05-13 12:30,1,2025-05-13 12:31,2514.24,2516.48,2507.4,2510.59,0.3064
CPI_Apr2025,CPI,2025-05-13 12:30,2,2025-05-13 12:32,2510.59,2525.0,2510.41,2523.01,0.8027
CPI_Apr2025,CPI,2025-05-13 12:30,3,2025-05-13 12:33,2523.01,2524.71,2516.78,2517.5,0.5825
CPI_Apr2025,CPI,2025-05-13 12:30,4,2025-05-13 12:34,2517.48,2517.96,2513.04,2517.96,0.6009
CPI_Apr2025,CPI,2025-05-13 12:30,5,2025-05-13 12:35,2517.95,2524.58,2517.12,2521.41,0.7387
CPI_May2025,CPI,2025-06-11 12:30,-1,2025-06-11 12:29,2767.91,2772.78,2767.05,2772.42,0.1629
CPI_May2025,CPI,2025-06-11 12:30,0,2025-06-11 12:30,2772.42,2802.0,2772.29,2797.52,1.0698
