event_name,anchor_utc,split,long_g,short_g,portfolio_net_pct
PPI_Dec2024,2025-01-14 13:30,pre_may,0.785,-1.0,-0.3074
PPI_Jan2025,2025-02-13 13:30,pre_may,-0.043,0.043,-0.2
PPI_Feb2025,2025-03-13 12:30,pre_may,-1.0,0.344,-0.5282
PPI_Mar2025,2025-04-11 12:30,pre_may,-0.061,-1.0,-0.7305
PPI_Apr2025,2025-05-15 12:30,post_may,-0.111,-1.0,-0.7553
PPI_May2025,2025-06-12 12:30,post_may,0.469,-0.469,-0.2
PPI_Jun2025,2025-07-16 12:30,post_may,0.132,-0.132,-0.2
PPI_Jul2025,2025-08-14 12:30,post_may,-1.0,3.353,0.9763
PPI_Aug2025,2025-09-10 12:30,post_may,0.486,-1.0,-0.4572
PPI_Sep2025_Delayed,2025-11-25 13:30,post_may,-1.0,0.78,-0.3099
