group,tp_pct,sl_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_raw
Powell,0.5,0.5,4,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
Powell,0.5,1.0,4,-0.325,-0.7,0.25,Jackson_Hole,0.8,Powell_Testimony_House,-0.7,-0.7,-0.2,-0.125
Powell,0.5,1.5,4,-0.4899,-0.7798,0.25,Jackson_Hole,0.8,Powell_Testimony_House,-1.2,-0.9199,-0.2532,-0.2899
Powell,0.5,2.0,4,-0.4702,-0.4904,0.25,Jackson_Hole,0.8,NABE,-1.7,-0.8936,-0.0603,-0.2702
Powell,1.0,0.5,4,-0.075,0.3,0.75,Powell_Testimony_House,0.3,Jackson_Hole,-1.2,-0.2,0.3,0.125
Powell,1.0,1.0,4,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
Powell,1.0,1.5,4,-0.4899,-0.7,0.25,Economic_Outlook,0.1404,Powell_Testimony_House,-0.7,-0.7,-0.4199,-0.2899
Powell,1.0,2.0,4,-0.5952,-0.6606,0.25,Economic_Outlook,0.1404,Jackson_Hole,-1.2,-0.8404,-0.3936,-0.3952
Powell,1.5,0.5,4,0.0899,0.3798,0.5,Powell_Testimony_House,0.8,Jackson_Hole,-1.2,-0.1468,0.5199,0.2899
Powell,1.5,1.0,4,0.0899,0.3,0.75,Powell_Testimony_House,0.3,Economic_Outlook,-0.5404,0.0199,0.3,0.2899
Powell,1.5,1.5,4,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
Powell,1.5,2.0,4,-0.3053,-0.45,0.25,Powell_Testimony_House,0.3789,Jackson_Hole,-0.7,-0.5333,-0.1737,-0.1053
Powell,2.0,0.5,4,0.0702,0.0904,0.5,NABE,1.3,Jackson_Hole,-1.2,-0.3397,0.4936,0.2702
Powell,2.0,1.0,4,0.1952,0.2606,0.5,Jackson_Hole,0.8,Economic_Outlook,-0.5404,-0.0064,0.4404,0.3952
Powell,2.0,1.5,4,-0.0947,0.05,0.5,Jackson_Hole,0.3,Powell_Testimony_House,-0.7789,-0.2263,0.1333,0.1053
Powell,2.0,2.0,4,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
Powell,3.0,0.5,4,-0.5548,-0.6202,0.25,Powell_Testimony_House,0.2211,Jackson_Hole,-1.2,-0.8135,-0.3397,-0.3548
Powell,3.0,1.0,4,0.3106,-0.0087,0.5,Jackson_Hole,1.8,Economic_Outlook,-0.5404,-0.1859,0.5942,0.5106
Powell,3.0,1.5,4,0.0207,-0.2192,0.25,Jackson_Hole,1.3,Powell_Testimony_House,-0.7789,-0.4058,0.2872,0.2207
Powell,3.0,2.0,4,-0.0846,-0.2,0.25,Jackson_Hole,0.8,NABE,-0.7385,-0.3795,0.1333,0.1154
NFP,0.5,0.5,11,-0.2909,-0.2,0.0,NFP_Dec2024,-0.2,NFP_Jun2025,-1.2,-0.3,-0.2,-0.0909
