event_date,event_name,group,event_utc,p_-60m,p_-30m,p_-15m,p_-10m,p_+0m,p_+5m,p_+15m,p_+30m,p_+60m,p_+120m
2025-06-24,Powell_Testimony_House,Powell,2025-06-24 14:00,2412.65,2412.47,2417.81,2417.64,2420.53,2427.53,2428.09,2430.36,2429.98,2437.0
2025-08-22,Jackson_Hole,Powell,2025-08-22 14:00,4243.34,4258.65,4300.38,4303.98,4288.37,4428.76,4593.54,4576.15,4611.79,4613.93
2025-09-23,Economic_Outlook,Powell,2025-09-23 16:35,4185.99,4177.54,4182.52,4185.6,4180.19,4168.78,4180.0,4176.46,4163.99,4162.45
2025-10-14,NABE,Powell,2025-10-14 16:20,3963.33,4039.29,4061.18,4063.6,4099.52,4136.81,4115.89,4135.12,4124.0,4120.55
2025-01-10,NFP_Dec2024,NFP,2025-01-10 13:30,3294.21,3309.34,3307.03,3304.47,3300.01,3247.36,3245.16,3243.14,3268.88,3229.43
2025-02-07,NFP_Jan2025,NFP,2025-02-07 13:30,2750.8,2756.26,2746.68,2745.69,2740.49,2739.83,2761.1,2774.32,2789.29,2739.16
2025-03-07,NFP_Feb2025,NFP,2025-03-07 13:30,2188.99,2177.24,2185.5,2184.17,2190.81,2208.82,2211.89,2187.56,2183.98,2209.72
2025-04-04,NFP_Mar2025,NFP,2025-04-04 12:30,1766.4,1783.15,1780.11,1776.7,1776.92,1788.13,1780.31,1788.1,1779.19,1786.03
2025-05-02,NFP_Apr2025,NFP,2025-05-02 12:30,1831.59,1832.39,1830.18,1829.76,1832.4,1823.23,1832.99,1840.1,1834.54,1843.7
2025-06-06,NFP_May2025,NFP,2025-06-06 12:30,2482.69,2474.93,2478.53,2475.86,2477.41,2487.0,2472.33,2474.2,2481.27,2506.2
2025-07-03,NFP_Jun2025,NFP,2025-07-03 12:30,2589.99,2596.25,2598.34,2598.83,2599.44,2584.4,2578.08,2587.85,2590.06,2602.84
2025-08-01,NFP_Jul2025,NFP,2025-08-01 12:30,3620.93,3641.04,3653.23,3642.17,3643.53,3659.0,3667.12,3661.55,3652.2,3649.91
2025-09-05,NFP_Aug2025,NFP,2025-09-05 12:30,4417.1,4415.56,4416.96,4433.16,4448.12,4455.57,4431.56,4469.39,4462.68,4320.89
2025-11-20,NFP_Sep2025_Delayed,NFP,2025-11-20 13:30,3018.59,3027.41,3034.99,3022.38,3021.7,3017.01,3000.35,2998.62,3012.18,2986.6
2025-12-16,NFP_Nov2025_Delayed,NFP,2025-12-16 13:30,2948.43,2950.18,2952.0,2950.92,2963.99,2924.36,2931.23,2909.09,2931.65,2924.48
