event_name,group,event_utc,ret_-10m_to_+15m,ret_-10m_to_+30m,ret_-10m_to_+60m,ret_event_to_+15m,ret_event_to_+30m,ret_event_to_+60m,hl_range_event_to_+60m,hl_range_event_to_+60m_pct,hl_range_-60m_to_+60m,hl_range_-60m_to_+60m_pct,realized_vol_-60_+60_pct
Powell_Testimony_House,Powell,2025-06-24 14:00,0.4322,0.5261,0.5104,0.3123,0.4061,0.3904,21.7,0.8965,37.26,1.5393,1.3569
Jackson_Hole,Powell,2025-08-22 14:00,6.7277,6.3237,7.1518,7.1162,6.7107,7.5418,357.57,8.3381,413.42,9.6405,3.9555
Economic_Outlook,Powell,2025-09-23 16:35,-0.1338,-0.2184,-0.5163,-0.0045,-0.0892,-0.3875,50.86,1.2167,50.86,1.2167,0.8304
NABE,Powell,2025-10-14 16:20,1.2868,1.76,1.4864,0.3993,0.8684,0.5971,120.42,2.9374,204.46,4.9874,2.5223
NFP_Dec2024,NFP,2025-01-10 13:30,-1.7948,-1.856,-1.077,-1.6621,-1.7233,-0.9433,85.43,2.5888,100.79,3.0542,2.2319
NFP_Jan2025,NFP,2025-02-07 13:30,0.5612,1.0427,1.5879,0.7521,1.2345,1.7807,76.12,2.7776,76.12,2.7776,1.5374
NFP_Feb2025,NFP,2025-03-07 13:30,1.2691,0.1552,-0.0087,0.9622,-0.1483,-0.3118,53.36,2.4356,64.63,2.9501,1.7322
NFP_Mar2025,NFP,2025-04-04 12:30,0.2032,0.6416,0.1401,0.1908,0.6292,0.1277,33.43,1.8813,44.48,2.5032,1.4723
NFP_Apr2025,NFP,2025-05-02 12:30,0.1765,0.5651,0.2612,0.0322,0.4202,0.1168,24.98,1.3632,24.98,1.3632,0.9227
NFP_May2025,NFP,2025-06-06 12:30,-0.1426,-0.067,0.2185,-0.2051,-0.1296,0.1558,34.28,1.3837,34.28,1.3837,0.9494
NFP_Jun2025,NFP,2025-07-03 12:30,-0.7984,-0.4225,-0.3375,-0.8217,-0.4459,-0.3608,51.02,1.9627,51.02,1.9627,1.1632
NFP_Jul2025,NFP,2025-08-01 12:30,0.685,0.5321,0.2754,0.6474,0.4946,0.238,46.37,1.2727,55.71,1.529,1.1054
NFP_Aug2025,NFP,2025-09-05 12:30,-0.0361,0.8172,0.6659,-0.3723,0.4782,0.3273,89.45,2.011,89.45,2.011,1.4925
NFP_Sep2025_Delayed,NFP,2025-11-20 13:30,-0.7289,-0.7861,-0.3375,-0.7066,-0.7638,-0.3151,85.55,2.8312,85.55,2.8312,1.8193
NFP_Nov2025_Delayed,NFP,2025-12-16 13:30,-0.6672,-1.4175,-0.653,-1.1053,-1.8522,-1.0911,96.64,3.2605,96.64,3.2605,1.8566
