event_name,group,strategy,direction,exit_after_entry_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
Powell_Testimony_House,Powell,strat4_momentum,long,5,2421.92,2429.24,0.30224,0.20224
Powell_Testimony_House,Powell,strat4_momentum,long,15,2421.92,2432.62,0.441798,0.341798
Powell_Testimony_House,Powell,strat4_momentum,long,30,2421.92,2432.52,0.437669,0.337669
Powell_Testimony_House,Powell,strat4_momentum,long,60,2421.92,2432.0,0.416199,0.316199
Jackson_Hole,Powell,strat4_momentum,long,5,4386.59,4451.5,1.479737,1.379737
Jackson_Hole,Powell,strat4_momentum,long,15,4386.59,4616.5,5.241201,5.141201
Jackson_Hole,Powell,strat4_momentum,long,30,4386.59,4592.39,4.691571,4.591571
Jackson_Hole,Powell,strat4_momentum,long,60,4386.59,4631.52,5.583608,5.483608
Economic_Outlook,Powell,strat4_momentum,short,5,4170.33,4165.98,0.104308,0.004308
Economic_Outlook,Powell,strat4_momentum,short,15,4170.33,4184.54,-0.34074,-0.44074
Economic_Outlook,Powell,strat4_momentum,short,30,4170.33,4179.56,-0.221325,-0.321325
Economic_Outlook,Powell,strat4_momentum,short,60,4170.33,4157.59,0.305491,0.205491
NABE,Powell,strat4_momentum,long,5,4143.05,4128.89,-0.341777,-0.441777
NABE,Powell,strat4_momentum,long,15,4143.05,4127.6,-0.372914,-0.472914
NABE,Powell,strat4_momentum,long,30,4143.05,4132.79,-0.247644,-0.347644
NABE,Powell,strat4_momentum,long,60,4143.05,4121.31,-0.524734,-0.624734
NFP_Dec2024,NFP,strat4_momentum,short,5,3244.06,3252.87,-0.271573,-0.371573
NFP_Dec2024,NFP,strat4_momentum,short,15,3244.06,3251.72,-0.236124,-0.336124
NFP_Dec2024,NFP,strat4_momentum,short,30,3244.06,3241.96,0.064734,-0.035266
NFP_Dec2024,NFP,strat4_momentum,short,60,3244.06,3260.51,-0.507081,-0.607081
NFP_Jan2025,NFP,strat4_momentum,long,5,2748.97,2741.1,-0.286289,-0.386289
NFP_Jan2025,NFP,strat4_momentum,long,15,2748.97,2758.79,0.357225,0.257225
NFP_Jan2025,NFP,strat4_momentum,long,30,2748.97,2776.27,0.993099,0.893099
NFP_Jan2025,NFP,strat4_momentum,long,60,2748.97,2779.8,1.121511,1.021511
NFP_Feb2025,NFP,strat4_momentum,long,5,2214.07,2205.25,-0.398361,-0.498361
NFP_Feb2025,NFP,strat4_momentum,long,15,2214.07,2213.46,-0.027551,-0.127551
NFP_Feb2025,NFP,strat4_momentum,long,30,2214.07,2192.12,-0.991387,-1.091387
NFP_Feb2025,NFP,strat4_momentum,long,60,2214.07,2184.47,-1.336904,-1.436904
NFP_Mar2025,NFP,strat4_momentum,long,5,1782.02,1784.0,0.11111,0.01111
NFP_Mar2025,NFP,strat4_momentum,long,15,1782.02,1779.58,-0.136923,-0.236923
NFP_Mar2025,NFP,strat4_momentum,long,30,1782.02,1786.59,0.256451,0.156451
NFP_Mar2025,NFP,strat4_momentum,long,60,1782.02,1783.2,0.066217,-0.033783
NFP_Apr2025,NFP,strat4_momentum,long,5,1839.21,1828.3,-0.593189,-0.693189
NFP_Apr2025,NFP,strat4_momentum,long,15,1839.21,1833.99,-0.283818,-0.383818
NFP_Apr2025,NFP,strat4_momentum,long,30,1839.21,1839.3,0.004893,-0.095107
NFP_Apr2025,NFP,strat4_momentum,long,60,1839.21,1834.21,-0.271856,-0.371856
NFP_May2025,NFP,strat4_momentum,long,5,2488.9,2489.84,0.037768,-0.062232
NFP_May2025,NFP,strat4_momentum,long,15,2488.9,2477.04,-0.476516,-0.576516
NFP_May2025,NFP,strat4_momentum,long,30,2488.9,2475.71,-0.529953,-0.629953
NFP_May2025,NFP,strat4_momentum,long,60,2488.9,2481.36,-0.302945,-0.402945
NFP_Jun2025,NFP,strat4_momentum,short,5,2587.75,2588.62,-0.03362,-0.13362
NFP_Jun2025,NFP,strat4_momentum,short,15,2587.75,2573.31,0.558014,0.458014
NFP_Jun2025,NFP,strat4_momentum,short,30,2587.75,2589.24,-0.057579,-0.157579
NFP_Jun2025,NFP,strat4_momentum,short,60,2587.75,2598.35,-0.409622,-0.509622
NFP_Jul2025,NFP,strat4_momentum,long,5,3662.3,3663.61,0.03577,-0.06423
NFP_Jul2025,NFP,strat4_momentum,long,15,3662.3,3661.6,-0.019114,-0.119114
NFP_Jul2025,NFP,strat4_momentum,long,30,3662.3,3662.43,0.00355,-0.09645
NFP_Jul2025,NFP,strat4_momentum,long,60,3662.3,3646.27,-0.437703,-0.537703
NFP_Aug2025,NFP,strat4_momentum,long,5,4473.5,4450.0,-0.525316,-0.625316
NFP_Aug2025,NFP,strat4_momentum,long,15,4473.5,4435.88,-0.840952,-0.940952
NFP_Aug2025,NFP,strat4_momentum,long,30,4473.5,4472.18,-0.029507,-0.129507
